Bandit,Reward,Algorithm
A Bandit with 1 Reward,1.1665804084447162,EpsilonGreedy
A Bandit with 2 Reward,2.562788869075346,EpsilonGreedy
A Bandit with 3 Reward,2.905263329160868,EpsilonGreedy
A Bandit with 4 Reward,4.011392893042803,EpsilonGreedy
