Bandit,Reward,Algorithm
0,0.25340492017191585,Thompson Sampling
3,3.715771442322391,Thompson Sampling
3,2.9558536019065462,Thompson Sampling
3,3.9309657462561343,Thompson Sampling
3,3.926311287806773,Thompson Sampling
3,5.75406229524649,Thompson Sampling
3,4.598005892077964,Thompson Sampling
3,3.5030888377522875,Thompson Sampling
3,3.5972904456162103,Thompson Sampling
3,3.5827983523152414,Thompson Sampling
3,2.6771604237772735,Thompson Sampling
3,2.665837249365965,Thompson Sampling
3,4.145286413371118,Thompson Sampling
3,3.6390608885406737,Thompson Sampling
3,5.605861397675591,Thompson Sampling
3,3.108034398140157,Thompson Sampling
3,4.731168593909231,Thompson Sampling
3,3.8719565707337895,Thompson Sampling
3,4.229081200101784,Thompson Sampling
3,2.7908382574462465,Thompson Sampling
3,3.570747242427654,Thompson Sampling
3,3.9008172290468806,Thompson Sampling
3,6.952496628980594,Thompson Sampling
3,4.216773677196933,Thompson Sampling
3,5.370789211753396,Thompson Sampling
3,4.071795595174821,Thompson Sampling
3,3.28636273111021,Thompson Sampling
3,3.802005946545215,Thompson Sampling
3,4.95495760730347,Thompson Sampling
3,4.249499437085569,Thompson Sampling
3,5.168684811979619,Thompson Sampling
3,3.0526642907418693,Thompson Sampling
3,2.2910744487363948,Thompson Sampling
3,2.2166766876716135,Thompson Sampling
3,4.578235341852575,Thompson Sampling
3,4.364685613607905,Thompson Sampling
3,2.956631685232959,Thompson Sampling
3,3.9360603667880922,Thompson Sampling
3,5.316649056094352,Thompson Sampling
3,3.7744820520895104,Thompson Sampling
3,4.521093598979467,Thompson Sampling
3,3.1419638986083585,Thompson Sampling
3,1.8850186020274706,Thompson Sampling
3,4.278518127685283,Thompson Sampling
3,3.8077987955468635,Thompson Sampling
3,4.852676126962582,Thompson Sampling
3,3.3800016758347518,Thompson Sampling
3,2.179164879527405,Thompson Sampling
3,4.868711822471029,Thompson Sampling
3,5.334301152713386,Thompson Sampling
3,4.842433267698855,Thompson Sampling
3,3.317645491551037,Thompson Sampling
3,3.4644773701913265,Thompson Sampling
3,3.8401457684003337,Thompson Sampling
3,3.1398044761114807,Thompson Sampling
3,4.9375187001191385,Thompson Sampling
3,3.8447916604986263,Thompson Sampling
3,5.227954416392144,Thompson Sampling
3,4.760548905112649,Thompson Sampling
3,2.9782951367209503,Thompson Sampling
3,5.471209632894368,Thompson Sampling
3,3.6422815127503227,Thompson Sampling
3,2.5711288296288455,Thompson Sampling
3,2.9094615461178455,Thompson Sampling
3,5.378992388601797,Thompson Sampling
3,2.7901781137122272,Thompson Sampling
3,4.405307632658943,Thompson Sampling
3,5.224627872225057,Thompson Sampling
3,3.8341230332762675,Thompson Sampling
3,5.371607346547558,Thompson Sampling
3,4.43604053823432,Thompson Sampling
3,2.666243533395771,Thompson Sampling
3,2.862883628550159,Thompson Sampling
3,3.0283924349489215,Thompson Sampling
3,4.374785203643371,Thompson Sampling
3,4.0674886787765026,Thompson Sampling
3,5.272993780496929,Thompson Sampling
3,5.0804180178198575,Thompson Sampling
3,3.082522079113268,Thompson Sampling
3,3.4214930717444356,Thompson Sampling
3,4.116487040701097,Thompson Sampling
3,4.840103404856786,Thompson Sampling
3,3.581772109853138,Thompson Sampling
3,4.130848174583759,Thompson Sampling
3,3.4487439470339414,Thompson Sampling
3,3.4955195212235317,Thompson Sampling
3,2.16329856238179,Thompson Sampling
3,5.478559355338558,Thompson Sampling
3,3.4570026645753678,Thompson Sampling
3,4.1503931767841316,Thompson Sampling
3,4.725757098749374,Thompson Sampling
3,4.7400796044868265,Thompson Sampling
3,3.8030956254442945,Thompson Sampling
3,3.553765681624328,Thompson Sampling
3,2.745189685193433,Thompson Sampling
3,4.856663866837224,Thompson Sampling
3,3.3659853254574967,Thompson Sampling
3,5.656315208622476,Thompson Sampling
3,5.21876184062117,Thompson Sampling
3,4.819381107450772,Thompson Sampling
3,4.153877535726894,Thompson Sampling
3,2.042656278237552,Thompson Sampling
3,4.319585980495803,Thompson Sampling
3,3.234410410446871,Thompson Sampling
3,4.016782862745308,Thompson Sampling
3,2.9957669670462392,Thompson Sampling
3,4.852215604630642,Thompson Sampling
3,4.781197617486675,Thompson Sampling
3,1.8151618469941693,Thompson Sampling
3,3.6180572772466175,Thompson Sampling
3,4.270732748446616,Thompson Sampling
3,3.720255804983608,Thompson Sampling
3,3.6860362208859887,Thompson Sampling
3,2.7586275935674145,Thompson Sampling
3,4.935392530162256,Thompson Sampling
3,3.487035413809259,Thompson Sampling
3,4.568168288709393,Thompson Sampling
3,4.048364194954495,Thompson Sampling
3,3.911396843267777,Thompson Sampling
3,2.561563581800914,Thompson Sampling
3,4.482965881884218,Thompson Sampling
3,3.852862240115744,Thompson Sampling
3,4.370119566200984,Thompson Sampling
3,2.3084883370725118,Thompson Sampling
3,3.9046981952636473,Thompson Sampling
3,3.294688934586935,Thompson Sampling
3,3.702402162417172,Thompson Sampling
3,3.3928302196426636,Thompson Sampling
3,5.852583265767218,Thompson Sampling
3,3.9965290680259886,Thompson Sampling
3,3.566635354878963,Thompson Sampling
3,4.317288623850164,Thompson Sampling
3,3.959700757966875,Thompson Sampling
3,4.684379090444156,Thompson Sampling
3,5.486625217134545,Thompson Sampling
