Bandit,Reward,Algorithm
3,4.2499791204765005,Epsilon Greedy
3,2.6276494831376658,Epsilon Greedy
3,4.023651502355001,Epsilon Greedy
3,2.604164344633104,Epsilon Greedy
3,3.86610881120868,Epsilon Greedy
3,3.570630273525717,Epsilon Greedy
3,4.245059001790972,Epsilon Greedy
3,3.7325433871438882,Epsilon Greedy
3,4.6066875545418835,Epsilon Greedy
3,2.900006979099376,Epsilon Greedy
3,4.1615816887969395,Epsilon Greedy
3,3.1020296429432648,Epsilon Greedy
3,2.4945743962107785,Epsilon Greedy
3,2.759112018998662,Epsilon Greedy
3,4.394638786978638,Epsilon Greedy
3,3.5096997105547354,Epsilon Greedy
3,4.845182254940315,Epsilon Greedy
3,2.2764607152044816,Epsilon Greedy
3,4.367340911201574,Epsilon Greedy
3,3.828353592871268,Epsilon Greedy
3,4.095667640509663,Epsilon Greedy
3,3.9710375199100394,Epsilon Greedy
3,4.17335493015139,Epsilon Greedy
3,4.954133313407344,Epsilon Greedy
3,4.621155080187021,Epsilon Greedy
3,4.274559763233177,Epsilon Greedy
3,4.90339737335324,Epsilon Greedy
3,4.306698573918598,Epsilon Greedy
3,2.9179339937716784,Epsilon Greedy
3,4.567798689171979,Epsilon Greedy
3,3.5768387414189484,Epsilon Greedy
3,3.603676496629176,Epsilon Greedy
3,5.175657505156957,Epsilon Greedy
3,4.305121640548234,Epsilon Greedy
3,2.910727013056466,Epsilon Greedy
3,7.152500278816841,Epsilon Greedy
3,4.22602571156646,Epsilon Greedy
3,3.744941191155051,Epsilon Greedy
3,3.911217788697062,Epsilon Greedy
3,6.311632639275705,Epsilon Greedy
3,5.416799162224969,Epsilon Greedy
3,4.6978258059448255,Epsilon Greedy
3,4.628348241851959,Epsilon Greedy
3,5.7482884327589945,Epsilon Greedy
3,5.4569085330629585,Epsilon Greedy
3,3.0777114223071416,Epsilon Greedy
3,4.806543792306492,Epsilon Greedy
3,4.0190463333314685,Epsilon Greedy
3,3.88702692015907,Epsilon Greedy
3,5.101713172577663,Epsilon Greedy
3,4.675607385926712,Epsilon Greedy
